review,rating,date,app_version
Good app,5,2026-01-24T06:03:02-07:00,0.4.4
Very quick and reliable.,5,2026-01-23T05:09:23-07:00,0.4.4
Easy to use,5,2026-01-09T09:33:39-07:00,0.4.3
Reliable,5,2026-01-07T04:15:42-07:00,0.4.3
I was to be deducted 240 for debit card but got deducted 470 and was told it will be refunded and bado sijata,5,2025-12-23T23:05:36-07:00,0.4.3
Best experience in paying electricity bills.,5,2025-12-19T22:21:00-07:00,0.4.3
Wonderful app . Very much seamless,5,2025-12-17T07:34:31-07:00,0.4.3
Please verify customers before they leave the banking hall I was embarrassed forced to ask for money,1,2025-12-16T21:30:04-07:00,0.4.3
Am grateful for being part of and using equity banking app!,5,2025-12-15T06:44:50-07:00,0.4.3
I have some money missing from my account,1,2025-11-30T04:01:29-07:00,0.4.3
Works well even in Europe,5,2025-11-29T22:15:23-07:00,0.4.3
Easy and fast services. Very reliable.,5,2025-11-29T02:21:31-07:00,0.4.3
Very efficient,5,2025-11-21T01:29:30-07:00,0.4.3
I got a bank account specifically so that I can deposit and withdraw directly to and from paypal. They have marketed it that way but guess what it doesn’t work,5,2025-11-17T21:21:42-07:00,0.4.3
Shuts down everytime and doesn’t detect codes,1,2025-11-14T05:29:28-07:00,0.4.3
The app is fast and convenient to use🤗. I have only one request please add Apple Pay.,5,2025-11-14T00:34:13-07:00,0.4.3
Works perfectly but they could add Apple Pay option for the cards it would be so much simpler to transact I people wouldn’t have to carry cards everywhere.,5,2025-10-28T03:21:07-07:00,0.4.1
The app isn’t working. There is a delay in both the mobile app and customer service line. This is causing a huge inconvenience on my part.I’ve tried to withdraw some money from my account which has been deducted but not sent to my MPESA number!!,1,2025-10-25T04:31:08-07:00,0.4.1
Very easy app to use and convenient,5,2025-10-06T02:04:19-07:00,0.4.1
Nice work,5,2025-10-02T07:28:26-07:00,0.4.1
Better than before,5,2025-09-25T22:18:46-07:00,0.4.1
Easy to use app making life easy,5,2025-09-21T10:43:46-07:00,0.4.1
Can we have our account managers checking on their customers and possibly advising if need be. Especially to those customers in business. Thank you,5,2025-09-10T09:34:58-07:00,0.4.1
The App is proving to be quite reliable as is efficient.,5,2025-08-31T22:50:11-07:00,0.4.1
"Best financial app in Kenya and easy to navigate .. easy to use. All functionalities available, loans, bill payments, government securities, loan applications. The list is endless. Kudos equity",5,2025-08-15T20:40:13-07:00,0.4.1
Unable to get OTP,1,2025-07-29T05:46:22-07:00,0.4.0
Easy and convenient to use,5,2025-07-18T13:26:46-07:00,0.4.0
"This is the most reliable Banking app in Kenya of all the ones I have tried. 99% uptime is very commendable, well done keep it up. I will recommend to others.",5,2025-07-15T21:54:37-07:00,0.4.0
The app works well but sometimes the otp fails. Please fix this issue,4,2025-07-06T12:14:20-07:00,0.4.0
Kindly include more Kenyan banks in the wiring options.,5,2025-06-27T04:44:29-07:00,0.4.0
Equity need to work on the app slowness on a busy day otherwise its ok,3,2025-06-19T03:47:01-07:00,0.4.0
Slow,1,2025-06-05T04:55:59-07:00,0.3.8
Easy to access and reliable. Anywhere you could be!,5,2025-05-28T00:49:06-07:00,0.3.8
"Very easy, safe and secure banking application.",5,2025-05-24T07:25:03-07:00,0.3.8
I should receive the PIN pip up on my screen instead of going to the messages … maybe it’s a safety measure I might be wrong… I should be in a position to see my bank statement aswell… a detailed one with deposits and withdrawals  if possible,1,2025-04-29T23:15:51-07:00,0.3.8
Good service and reliable,5,2025-04-15T20:27:22-07:00,0.3.8
Efficient n safe + superb,5,2025-04-05T02:31:50-07:00,0.3.8
Good experience,5,2025-03-28T08:31:51-07:00,0.3.8
Very seamless 👌🏿,5,2025-03-22T00:01:50-07:00,0.3.8
Your transaction charges are too high,3,2025-03-19T23:10:26-07:00,0.3.8
Instead of a pon or otp verification to verify a transaction could you imtorduce facial verification just beforea transactio  is submitted this will enhancw aecurity and even if  someone has your password the  face will mitigate this,4,2025-03-07T06:11:01-07:00,0.3.8
Good customer service,5,2025-03-03T06:34:59-07:00,0.3.8
Send text for all transactions especially Standing orders once deducted,2,2025-02-26T06:34:12-07:00,0.3.8
Excellent,5,2025-02-13T05:28:12-07:00,0.3.8
Easy and reliable,5,2025-02-11T02:41:02-07:00,0.3.8
"Equity mobile banking is very convenient, but when there is heavy traffic, the system is slow. Also on one of my iPhones, l can only access using a password and not biometric.",4,2025-02-07T18:56:42-07:00,0.3.8
