source,date,channel,product,text,language,clean_text,topic,sentiment,annotator,confidence
CRM Tool,03/11/2025 00:00,Service Web,Medical,on the progress of the endorsement,english,on the progress of the endorsement,General Inquiry,neutral,judith,high
CRM Tool,12/11/2025 00:00,Service Web,Card Authorization and Risk,send statements from th october to date idnumber,unknown,send statements from th october to date idnumber,Account Queries,neutral,judith,high
CRM Tool,29/11/2025 00:00,Service Email,MPESA Transactions,thanks for your response i am waiting for the feedbacknbsp,english,thanks for your response i am waiting for the feedback,,,,
CRM Tool,30/11/2025 00:00,Service Web,Mobile,sign in i need to change my password,unknown,sign in i need to change my password,,,,
CRM Tool,26/11/2025 00:00,Service Email,SWIFT,id idnumber number email nbspname sentnbsp my paymentclose to usdnbsp on ndnbsp of this month but it has not yet reflectednbspin my accountnbsp i understand it was on a weekend but since i have not seen the money in my account help me track it is a screenshot showing the transaction codes by meta check ill appreciate your feedbacknbspon this,english,id idnumber number email sent my paymentclose to usd on nd of this month but it has not yet reflected my account i understand it was on a weekend but since i have not seen the money in my account help me track it is a screenshot showing the transaction codes by meta check ill appreciate your feedback this,,,,
CRM Tool,11/11/2025 00:00,Service Email,TerraPay,you for the deal namenbsp namenbsp tnbsp extnbsp cell wnbspname namenbspname teamname email namenbspname pm namenbspname n email h email namenbspname email m email a email n email email email email email email email email namenbspname ttmfs email at am teamname email wrote namenbspnamenbspteamnbspnbsp quote us for buying kes and selling usd todnbsp usd account accountnumber usd transfer to settlement kes accountnbsp accountnumber kes transfer tonbsp namenbsp fx th floor email and any attachments may contain confidential information and is intended for the addressee you are neither the addressee nor the authorised recipient for the addressee please delete the contents and notify us immediately by return email,english,you for the deal name name t ext cell w name teamname email name pm name n email h email name email m email a email n email name ttmfs email at am teamname email wrote name quote us for buying kes and selling usd tod usd account accountnumber usd transfer to settlement kes account accountnumber kes transfer to name fx th floor email and any attachments may contain confidential information and is intended for the addressee you are neither the addressee nor the authorised recipient for the addressee please delete the contents and notify us immediately by return email,,,,
CRM Tool,02/11/2025 00:00,Phone,MPESA Transactions,you for your email note that has been reversed on the transaction reference number tkmcegki you require further information please do not hesitate to contact us on mpesa or email you for choosing namenbsp nbspnbsp namenbsp nbspnbsp mpesa namenbsp p o namenbsp email was sent from outside the organization not click links or open attachments unless you recognize the sender and know the content is safe email assist reverse full partial to accountnumber amp nov mpesa to wrong number am am,english,you for your email note that has been reversed on the transaction reference number tkmcegki you require further information please do not hesitate to contact us on mpesa or email you for choosing name name mpesa name p o name email was sent from outside the organization not click links or open attachments unless you recognize the sender and know the content is safe email assist reverse full partial to accountnumber amp nov mpesa to wrong number am,,,,
CRM Tool,03/12/2025 00:00,Service Web,Mobile,i restored my phonenow am not able to use my mobile service what might be the problem and how can it be rectified,english,i restored my phonenow am not able to use my mobile service what might be the problem and how can it be rectified,,,,
CRM Tool,10/11/2025 00:00,Service Email,Mobile,i made a mobile moneynbsptransfer of account was deducted but i never received it on the mobile money account reverse the transfer attached screenshot m accountnumber e email,english,i made a mobile money of account was deducted but i never received it on the mobile money account reverse the transfer attached screenshot m accountnumber e email,,,,
CRM Tool,01/12/2025 00:00,Service Email,MPESA Transactions,assist to reverse the below transaction which has been sent to wrong mpesa transaction of nbsphas been credited to nbspphone nbspeunice nerima nbspequcafaf mpesa nbsptlnblbxk on at for,english,assist to reverse the below transaction which has been sent to wrong mpesa transaction of been credited to nerima mpesa on at for,,,,
CRM Tool,17/11/2025 00:00,Service Email,Credit CRB,i want a loan with you but i was requesting you check for where am put in crb so that i do some clearancenbsp,english,i want a loan with you but i was requesting you check for where am put in crb so that i do some clearance,,,,
CRM Tool,27/11/2025 00:00,Service Email,Mobile,nbspname sign innnbsp in my accountnbsp,unknown,sign inn in my account,,,,
