accuracy,precision,recall,f1_score,model
0.775,0.8217948717948719,0.775,0.7736716027874564,Logistic Regression
0.825,0.86875,0.825,0.8172619047619047,Logistic Regression
0.875,0.8767801857585139,0.875,0.8752913752913754,Logistic Regression
0.875,0.8748376623376624,0.875,0.8742983159583,Logistic Regression
0.9,0.9029503105590063,0.9,0.8989393939393938,Logistic Regression
0.85,0.8511904761904763,0.85,0.8482608695652175,Logistic Regression
0.85,0.866060606060606,0.85,0.8486764705882353,Logistic Regression
0.775,0.7924074074074074,0.775,0.7688165483584738,Logistic Regression
0.85,0.8514423076923077,0.85,0.8474444444444444,Logistic Regression
0.825,0.8300000000000001,0.825,0.8258547008547008,Logistic Regression
0.85,0.8666666666666666,0.85,0.847972027972028,Logistic Regression
0.875,0.882,0.875,0.8733075435203095,Logistic Regression
0.875,0.8740942028985508,0.875,0.8738888888888889,Logistic Regression
0.75,0.7498397435897436,0.75,0.7347673160173158,Logistic Regression
0.825,0.8495833333333334,0.825,0.8221842225262199,Logistic Regression
0.725,0.734577922077922,0.725,0.7253387533875338,Logistic Regression
0.825,0.83625,0.825,0.825989943431804,Logistic Regression
0.875,0.8990384615384617,0.875,0.8717576318223866,Logistic Regression
0.875,0.8832792207792208,0.875,0.873524783634933,Logistic Regression
0.925,0.9255952380952381,0.925,0.9246215306980657,Logistic Regression
0.925,0.9268518518518519,0.925,0.923921832884097,Logistic Regression
0.75,0.7675324675324674,0.75,0.75,Logistic Regression
0.8,0.8,0.8,0.8,Logistic Regression
0.825,0.8302631578947368,0.825,0.8255791505791507,Logistic Regression
0.925,0.9284584980237154,0.925,0.9259878419452887,Logistic Regression
0.85,0.8833333333333332,0.85,0.8450892857142858,Logistic Regression
0.725,0.7849025974025974,0.725,0.7114104323953329,Logistic Regression
0.95,0.95,0.95,0.95,Logistic Regression
0.825,0.8760416666666668,0.825,0.8242037302725969,Logistic Regression
0.825,0.8585913312693499,0.825,0.8289739500265816,Logistic Regression
0.675,0.7158333333333333,0.675,0.63503301540719,Naive Bayes
0.725,0.76953125,0.725,0.6880377358490566,Naive Bayes
0.75,0.8083333333333332,0.75,0.74375,Naive Bayes
